Country,Own Training Center,3rd Party Training Center
Algeria,0,1
Australia,5,2
Austria,0,3
Bahrain,0,3
Belgium,4,0
Brazil,11,0
Brunei,2,0
Bulgaria,0,3
Canada,9,24
Chile,3,0
China,4,69
Colombia,1,1
Czech Republic,1,2
Denmark,4,0
Ethiopia,0,6
Finland,0,4
France,2,14
Germany,1,14
Hungary,0,2
India,6,11
Indonesia,0,26
Ireland,0,1
Italy,3,7
Japan,6,4
Kenya,0,1
Kuwait,0,1
Lebanon,0,1
Lithuania,0,2
Luxembourg,0,2
Malaysia,9,1
Mexico,1,1
Morocco,0,2
Netherlands,12,13
New Zealand,0,9
Nigeria,0,2
Norway,5,0
Panama,0,1
Philippines,2,1
Qatar,0,1
Russia,0,5
Singapore,1,15
South Africa,1,2
South Korea,1,10
Spain,9,1
Sweden,4,0
Switzerland,0,7
Taiwan,0,4
Turkey,1,0
UAE,18,14
UK,15,9
USA,55,65
Uzbekistan,0,2
Viet Nam,2,0